link_name,profile,loc,type
"ADEOLU JUNIOR SECONDARY SCHOOL, Tolu-Apapa",2132,Ajeromi LGA,State owned
"ADEOLU SENIOR SECONDARY SCHOOL, Tolu",2148,Ajeromi LGA,State owned
"ADEREMI NURSERY & PRIMARY SCHOOL, Oshodi",77406,Oshodi-Isolo,Privately owned
"ADESIJI IFEBOGUN MEMORIAL NUR/PRY SCHOOL, Ijeshatedo",11178,Surulere,Privately owned
"ADEWOYE ADEYEMI MEMORIAL ACADEMY, Ebute-Metta",3863,Lagos-Mainland,Privately owned
"ADEX COMPREHENSIVE COLLEGE, Ilasamaja",6737, Mushin,Privately owned
"ADISA BASHUA NUR/PRY SCHL,  Surulere",2003,Surulere,State owned
"ADONAI NUR/PRY SCHOOL, Ketu",12389,Kosofe,Privately owned
"ADRAO INTERNATIONAL SCHOOL, Victoria Island",2938,Eti-Osa,Privately owned
"ADTAK COLLEGE, Ori-Okuta",4596,Ikorodu,Privately owned
"AFARIOGUN NUR/PRY SCHOOL, Osodi",2701,Oshodi-Isolo,State owned
"AFOLABI NUR & PRY SCHOOL, Oshodi",2439,Oshodi-Isolo,State owned
"AFOLAWO NURSERY & PRIMARY SCHOOL, Igbogbo",11474,Ikorodu,Privately owned
"AFRICAN BETHEL PRIMARY SCHOOL,  Maya",838,Ikorodu,State owned
"AFRICAN BETHEL PRIMARY SCHOOL, Erikorodo",836,Ikorodu,State owned
"AFRICAN BETHEL PRIMARY SCHOOL, Ota-Ona",837,Ikorodu,State owned
"AFRICAN BETHEL PRIMRY SCHOOL, Ikorodu",12313,Ikorodu,State owned
"AFRICAN CHURCH CENTRAL PRIMARY SCHOOL,  Agege",12,Agege,State owned
"AFRICAN CHURCH MODEL NUR/PRY SCHOOL, II  Alagbado",137,Alimosho,State owned
"AFRICAN CHURCH MODEL NURSERY & PRIMARY SCHOOL I, Alagbado",10185,Alimosho,State owned
AFRICAN CHURCH PRIMARY SCHOOL,11910,Ifako/Ijaiye,State owned
"AFRICAN CHURCH PRIMARY SCHOOL 1, Meiran",10148,Alimosho,State owned
"AFRICAN CHURCH PRIMARY SCHOOL 2, Meiran",134,Alimosho,State owned
"AFRICAN CHURCH PRIMARY SCHOOL I, Alagbado",9231,Alimosho,State owned
"AFRICAN CHURCH PRIMARY SCHOOL,  Akowonjo",135,Alimosho,State owned
"AFRICAN CHURCH PRIMARY SCHOOL,  Mosan",136,Alimosho,State owned
"AFRICAN CHURCH PRIMARY SCHOOL, Ifako",2631,Ifako/Ijaiye,State owned
"AFRICAN CHURCH PRY SCH. COMPUTER CENTRE, Idiagbon",2632,Ifako/Ijaiye,State owned
"AFRICAN CHURCH PRY SCHL,  Abule-Oja",1951,Lagos-Mainland,State owned
"AFRICAN CHURCH PRY SCHOOL, Ikola",133,Alimosho,State owned
"AFRICAN MARITIME ACADEMY,  Egan-Igando",106176,Alimosho,Privately owned
"AFRICAN PRIMARY SCHOOL,  Ajegunle",128,Ajeromi LGA,State owned
"AGA PRIMARY SCHOOL, Gbasemo-Aga",840,Ikorodu,State owned
"AGANJU AKA COMMUNITY JUNIOR SECONDARY SCHOOL, Kemberi",10352,Ojo,State owned
"AGANJU AKA NUR/PRY SCHL INCLUSIVE SCH II, Okokomaiko",2378,Ojo,State owned
"AGANJU AKA PRIMARY SCHOOL ONE, Okokomaiko",2373,Ojo,State owned
"AGAPE BAPTIST COLLEGE, Eric Moore Road ",5710,Surulere,Privately owned
"AGAPE BAPTIST COLLEGE, Surulere",105591,Surulere,Privately owned
"AGAPE BUNDLES MONTESSORI SCHOOL, Omole Phase 1",103506, Ikeja,Privately owned
"AGATE NURSERY & PRIMARY SCHOOL, Ikeja",106695,Ikeja,Privately owned
AGBADO IJAIYE PRIMARY SCHOOL III,12281,Ifako/Ijaiye,State owned
AGBADO IJAIYE PRIMARY SCHOOL IV,12282,Ifako/Ijaiye,State owned
"AGBADO/IJAIYE PRIMARY SCHOOL-1, Ojokoro",2236,Ifako/Ijaiye,State owned
"AGBADO/IJAIYE PRIMARY SCHOOL-2, Ojokoro",2238,Ifako/Ijaiye,State owned
AGBEDE JUNIOR SECONDARY SCHOOL,12301,Ikorodu,State owned
"AGBEDE SENIOR GRAMMAR SCHOOL, Agbade",10879,Ikorodu,State owned
"AGBOJU JUNIOR SECONDARY SCHOOL, Agboju",521,Amuwo-Odofin,State owned
"AGBOJU SENIOR SECONDARY SCHOOL, Agboju",2609,Amuwo-Odofin,State owned
AGBOWA COMM GRAM SCH,1080,Epe,State owned
AGBOWA COMMUNITY JUNIOR GRAMMAR SCHOOL,566,Epe,State owned
"AGBOYI NUR/PRY SCHOOL,  Agboyi",1151,Kosofe,State owned
"AGEGE JUNIOR COLLEGE, Agege",12189,Agege,State owned
"AGEGE MOTOR ROAD PRIMARY SCHOOL, Mushin ",1540,,State owned
AGEGE PRIMARY SCHOOL,762,Agege,State owned
"AGEKE PRIMARY SCHOOL, Ejigbo",2709,Oshodi-Isolo,State owned
"AGIDINGBI JUNIOR GRAMMAR SCHOOL, Agidingbi",1231, Ikeja,State owned
AGIDINGBI JUNIOR HIGH SCHOOL,922, Ikeja,State owned
"AGIDINGBI PRIMARY SCHOOL,  Agidingbi",778, Ikeja,State owned
"AGIDINGBI SENIOR GRAMMAR SCHOOL, Agidingbi",2670, Ikeja,State owned
"AGO-EGBA AFRICAN CHURCH PRY SCHL, Ebute-Meta",1936,Lagos-Mainland,State owned
"AGO-IJAYE METH.PRIMARY SCHOOL,SAVAGE STR.",1949,Lagos-Mainland,State owned
"AGO-OWU NUR/PRY SCHOOL, Sogunle",2397,Oshodi-Isolo,State owned
AGODO ALARA PRIMARY COMMUNITY SCHOOL,12309,Ikorodu,State owned
AGUDA COMMUNITY JUNIOR SECONDARY SCHOOL,12442,Surulere,State owned
AGUDA COMMUNITY SENIOR SECONDARY SCHOOL,12438,Surulere,State owned
AGUDA JUNIOR GRAMMAR SCHOOL,12439,Surulere,State owned
AGUDA SENIOR GRAM SCH.,105881,Surulere,State owned
"AGUDA SENOIR GRAMMAR SCHOOL,  Aguda",2151,Surulere,State owned
"AGUNBIADE PRIMARY SCHOOL, Shomolu",2533,,State owned
"AGUNTASOLO PRIMARY SCHOOL , Ijeshatedo",2024,Surulere,State owned
"AHMAD MEMORIAL MUSLIM PRY SCHL, Okekoto  ",13,Agege,State owned
"AHMADIYYA PRIMARY SCHOOL,  Iwaya",1939,Lagos-Mainland,State owned
"AINA MEMORIAL NUR/PRY SCHOOL, Agiliti",1170,Kosofe,State owned
"AINA SOGUNRO  MEMORIAL PRIMARY SCHOOL,  Idi Araba",1541,,State owned
"AISO-OLA INTERNATIONAL SCHOOL, Iba",64427,Ojo,Privately owned
"AIYEDE PRIVATE SCHOOL, Gbagada",12157,Kosofe,Privately owned
"AIYEKOTO COMMUNITY NUR/PRY SCHOOL, Imude Ojo",2360,Ojo,State owned
AIYEKOTO COMMUNITY PRIMARY SCHOOL,12404,Ojo,State owned
"AIYETORO AFRICAN CHURCH PRY SCHL, Makoko",1985,Lagos-Mainland,State owned
"AIYETORO PRIMARY SCHOOL,  Ajegunle",2178,Ajeromi LGA,State owned
"AIYETORO PRIMARY SCHOOL, Aguda",2665,Surulere,State owned
"AIYETORO SENIOR GRAMMAR SCHOOL, Ebute-Metta",1274,Lagos-Mainland,State owned
"AJALOGUN MEMORIAL COLLEGE, Ikorodu",4895,Ikorodu,Privately owned
AJANGBADI JUNIOR GRAMMAR SCHOOL,625, Mushin,State owned
"AJANGBADI JUNIOR HIGH SCHOOL, Afromedia",12400,Ojo,State owned
"AJANGBADI SENIOR HIGH SCHOOL,  Afro-Ajangbadi ",2349,Ojo,State owned
"AJANIKE NURSERY & PRIMARY SCHOOL, Imeke",106722,Badagry,Privately owned
AJAO ESTATE JUNIOR GRAMMAR SCHOOL,931,Oshodi-Isolo,State owned
"AJAO ESTATE JUNIOR HIGH SCHOOL, Anthony Village",2588,Kosofe,State owned
"AJAO ESTATE NUR/PRY SCHOOL, Mafoluku Oshodi",2461,Oshodi-Isolo,State owned
"AJAO ESTATE SENIOR GRAMMAR SCHOOL,  Isolo",1872,Oshodi-Isolo,State owned
"AJAO INTERNATIONAL MEMORIAL SCHOOL, Abule-Egba",3783,Alimosho,Privately owned
"AJARA COMPREHENSIVE JUNIOR HIGH SCHOOL, Ajara Topa",543,Badagry,State owned
"AJARA COMPREHENSIVE SENIOR HIGH SCHOOL, Ajara-Topa",105530,Badagry,State owned
AJARA JUNIOR GRAMMAR SCHOOL,12234,Badagry,State owned
"AJARA SENIOR GRAMMAR SCHOOL, Ajara Vetho.",7523,Badagry,State owned
AJASA ODUALABE COMM. JNR HIGH SCH. Ajasa,1785,Alimosho,State owned
"AJAYI CROWTHER MEM. SNR GRAM SCHL I, Bariga",2375,Shomolu,State owned
"AJAYI CROWTHER MEM. SNR GRAM. SCHL II, Bariga",2364, Shomolu,State owned
"AJAYI DAHUNSI MEMORIAL BAPTIST SCHOOL, Ilasamaja",105844,Mushin,Privately owned
"AJC NURSERY & PRIMARY SCHOOL, Okota",106703,Oshodi-Isolo,Privately owned
AJE COMPREHENSIVE JUNIOR HIGH SCHOOL,858,Lagos-Mainland,State owned
AJEABO COMPUTER CENTRE,1444,Oshodi-Isolo,State owned
"AJEABO COMPUTER CENTRE,  Mushin",2273, Mushin,State owned
"AJEABO PRIMARY SCHOOL,  Ilasamaja",1542,,State owned
AJEBO JUNIOR HIGH SCHOOL ,565,Epe,State owned
AJEBO SENIOR HIGH SCHOOL,1079,Epe,State owned
"AJEGUNLE JUNIOR HIGH SCHOOL, Kosofe",9779,Kosofe,State owned
"AJEGUNLE PRIMARY SCHOOL,  Agege",14,Agege,State owned
"AJEGUNLE PRIMARY SCHOOL, Awodi-Ora",95,Ajeromi LGA,State owned
"AJEGUNLE PRIMARY SCHOOL, Ojo-Rd",127,Ajeromi LGA,State owned
"AJEGUNLE SENIOR HIGH SCHOOL, Kosofe",9791,Kosofe,State owned
"AJELOGO NUR/PRY SCHOOL,  Ketu",1159,Kosofe,State owned
"AJENIFUJA PRIMARY SCHOOL,  Ilupeju",1543,,State owned
"AJEROMI CENTRAL PRIMARY SCHOOL,  Araromi Ajegunle",110,Ajeromi LGA,State owned
"AJEROMI IFELODUN COMPUTER CENTRE,  Awodi-Ora",1392,Ajeromi LGA,State owned
"AJEROMI IFELODUN JUNIOR HIGH SCHOOL, Ajegunle",9840,Ajeromi LGA,State owned
"AJEROMI IFELODUN PRIMARY SCHOOL, Araromi",62,Ajeromi LGA,State owned
"AJEROMI IFELODUN SENIOR HIGH SCHOOL, Ajegunle",2162,Ajeromi LGA,State owned
"AJEROMI NURSERY/PRIMARY SCHOOL,  Ijora",226,Apapa,State owned
"AJEROMI PUBLIC PRIMARY SCHOOL, Ajegunle",121,Ajeromi LGA,State owned
"AJIBAY ACADEMY, Ayobo",3410,Alimosho,Privately owned
"AJIBOBA AYEDERE PRIMARY SCHOOL, Ketu",1155,Kosofe,State owned
"AJIBULU PRIMARY SCHOOL, Mafoluku",2460,Oshodi-Isolo,State owned
"AJIDAGAN PRIMARY SCHOOL, Gbagada",2385,,State owned
AJIGBEDA GIRLS  JUNIOR HIGH SCHOOL,970,Surulere,State owned
"AJIGBEDA GIRLS SENIOR HIGH SCHOOL,  Surulere",1352,Surulere,State owned
"AJIRAN COMMUNITY PRIMARY SCHOOL, Ajiran",674,Eti-Osa,State owned
AJIRAN COMMUNITY SCHOOL,12345,Lagos-Mainland,State owned
"AJOKE HIGH SCHOOL, Badagry",10040, Badagry ,Privately owned
AJOPRAISEHIM N/P SCHOOL,105275,,Privately owned
"AJOPRAISELIM COMPREHENSIVE COLLEGE, Aboru",105912,Alimosho,Privately owned
AJUMONI  SENIOR  GRAMMAR SCHOOL,1318,Oshodi-Isolo,State owned
AJUMONI JUNIOR GRAMMAR SCHOOL,932,Oshodi-Isolo,State owned
AJUMONI JUNIOR SECONDARY SCHOOL ,652, Mushin,State owned
"AJUNMONI SENIOR SECONDARY SCHOOL, Mushin",1284, Mushin,State owned
"AKANDE DAHUNSI MEM. JUNIOR HIGH SCHOOL, Ikoyi",592,Eti-Osa,State owned
AKANDE DAHUNSI MEM. SENIOR HIGH SCHOOL,12267,Eti-Osa,State owned
"AKANJI NURSERY/PRIMARY SCHL,  Surulere",2063,Surulere,State owned
"AKESAN COMMUNITY JUNIOR GRAMMAR SCHOOL, Akesan",9676,Alimosho,State owned
"AKILO PRIMARY SCHOOL,  Agege",15,Agege,State owned
"AKIN JACOBS MEM. BAPTIST PRY SCHL, Surulere",2030,Surulere,State owned
"AKINBAYE PRIMARY SCHOOL, Isolo",2707,Oshodi-Isolo,State owned
"AKINLADE PRIMARY SCHOOL, Okun-Mopo",675,Eti-Osa,State owned
"AKINROTOYE MEMORIAL INTERNATIONAL SCHOOL, Ayobo",5524,Alimosho,Privately owned
"AKINSEMOYIN PRIMARY SCHL, Surulere",2037,Surulere,State owned
"AKINTAN JUNIOR GRAMMAR SCHOOL, Surulere",971,Surulere,State owned
"AKINTAN SENIOR GRAMMAR SCHOOL, Surulere",1353,Surulere,State owned
"AKINYELE ALAKUKO JUNIOR SECONDARY SCHOOL, Alakuko",9542,Ifako/Ijaiye,State owned
"AKOD SCHOOLS  COLLEGE,  Ikotun",5808,Alimosho,Privately owned
"AKODU PRIMARY SCHOOL, Mushin",1544,,State owned
"AKOKA JUNIOR HIGH SCHOOL, Akoka",861,Lagos-Mainland,State owned
"AKOKA PRIMARY SCHOOL, Akoka",1943,Lagos-Mainland,State owned
"AKOWONJO NURSERY & PRIMARY SCHOOL, Akowonjo",9237,Alimosho,State owned
"AL ABRAAR SCHOOL, Gberigbe Ikorodu",49088,Ikorodu,Privately owned
"AL AKEEDAT MODEL COLLEGE, Ikota",5547,Eti-Osa,Privately owned
"AL HALEEM COLLEGE, Ijeshatedo",49007,Surulere,Privately owned
"AL- AZIM COLLEGE, Iju-Ishaga",3678,Ifako/Ijaiye,Privately owned
"AL- WAJUD NUR/PRY SCHOOL,  Surulere",2102,Surulere,State owned
"AL-ALIYY NURSERY & PRIMARY SCHOOL, Agbado Crossing",8614,Ifako/Ijaiye,Privately owned
"AL-BARI COLLEGE, Badagry",106161,Badagry,Privately owned
"AL-BAYAN NURSERY & PRIMARY SCHOOL, Iloro ",4375,Agege,Privately owned
"AL-FARUQ COLLEGE, Ejigbo",3078,Oshodi-Isolo,Privately owned
"AL-HAKEEM NURSERY/PRIMARY SCHOOL, Ajah",10144,Eti-Osa,Privately owned
"AL-HALEEM INTERNATIONAL SCHOOLS, Surulere",4908,Surulere,Privately owned
"AL-HANIF ISLAMIC NURSERY & PRIMARY SCHOOL, Off Folarin",4756,Alimosho,Privately owned
"AL-HIKMAT COLLEGE, Mulero",10668,Agege,Privately owned
"AL-HIKMAT NURSERY & PRIMARY SCHOOL, Keke",3993,Agege,Privately owned
"AL-MAALA COLLEGE, Okokomaiko",5327,Ojo,Privately owned
"AL-MIYZAN COLLEGE, Ikotun ",48819,Alimosho,State owned
"AL-QUDDUS NURSERY / BASIC SCHOOL, Ijede",4091,Ikorodu,Privately owned
"AL-WAZIR NUR. & PRY SCHOOL, Odi-Olowo Ojuwoye",8226, Mushin,Privately owned
"ALAAFIA NUR & PRY SCHOOL,  Coker",2076,Surulere,State owned
"ALABA NUR/PRY SCHOOL 2,  Alaba-Oro",2250,Ajeromi LGA,State owned
"ALABA PRIMARY SCHOOL I,  Alaba-Oro",63,Ajeromi LGA,State owned
"ALABA PRIMARY SCHOOL, Mushin",1545,,State owned
"ALADURA COMPREHENSIVE HIGH SCHOOL, Anthony Village",3147,Kosofe,Privately owned
"ALAFIA OLUWA PRIMARY SCHOOL, Mushin",1546,,State owned
"ALAGBADO JUNIOR GRAMMAR SCHOOL, Alagbado ",9670,Alimosho,State owned
"ALAGUNTAN PRIMARY SCHOOL,   Iyana-ipaja",138,Alimosho,State owned
"ALAKARA ANGLICAN PRIMARY SCHOOL, Idi-Oro",1547,,State owned
"ALAKE NUR & PRY SCHOOL, Ijede",12573,Ikorodu,Privately owned
ALAKOTO JNR. HIGH SCHOOL. Olodi Apapa,1796,Ajeromi LGA,State owned
ALAKOTO JUNIOR HIGH SCHOOL,12230,Amuwo-Odofin,State owned
"ALAKOTO NURSERY/PRIMARY SCHOOL, Olodi-Apapa",65,Ajeromi LGA,State owned
"ALAKOTO SENIOR HIGH SCHOOL, Tolu-Ajeromi",2141,Ajeromi LGA,State owned
"ALAKOTO SENIOR SECONDARY SCHOOL, Ajegunle",105672,Ajeromi LGA,State owned
"ALAPERE NURSERY & PRIMARY SCHOOL, Ketu",9437,Kosofe,State owned
"ALAPERE PRIMARY SCHOOL,  Ketu",1180,Kosofe,State owned
ALARO COMM HIGH SCH,1081,Epe,State owned
ALARO COMMUNITY JUNIOR HIGH SCHOOL,564,Epe,State owned
"ALART INTERNATIONAL SCHOOL, Mende",3750,Kosofe,Privately owned
"ALASO COMMUNITY JUNIOR GRAMMAR SCHOOL, Alaso",9697,Alimosho,State owned
"ALAWORO PRIMARY SCHOOL, Ojo",2377,Ojo,State owned
"ALBERT ALUKO HIGH SCHOOL, Igbogbo",10049,Ikorodu,Privately owned
"ALBESTA ACADEMY NURSERY & PRIMARY SCHOOL, Eleko Junction",105921,Ibeju-Lekki,Privately owned
"ALBESTA ACADEMY, Epe Express way.",4748, Ibeju-Lekki,Privately owned
"ALBRIGHT NURSERY & PRIMARY SCHOOL, Igbogbo ",4645,Ikorodu,Privately owned
"ALDAMAK NOURAN SCHOOL, Langbasa",5531,Eti-Osa,Privately owned
AlexaHills N/P ,105733,,Privately owned
ALICE OGBARA MEMORIAL JUNIOR SEC. SCHOOL,12399,Ojo,State owned
ALIMOSHO COMPUTER COLLEGE,1396,Alimosho,State owned
"ALIMOSHO JUNIOR GRAMMAR SCHOOL, Mosalashi",9672,Alimosho,State owned
"ALIMOSHO PRIMARY SCHOOL,  Alaguntan",139,Alimosho,State owned
"ALIMOSHO SNR GRAMMAR SCHOOL,  Alimosho",1027,Alimosho,State owned
"ALISON NUR & PRY SCHOOL, Mushin",6931, Mushin,Privately owned
"ALISON NURSERY & PRIMARY SCHOOL, Itire",4383,Surulere,Privately owned
"ALL JOY MONTESSORI SCHOOL, Orisunbare, Idimu.",5044,Alimosho,Privately owned
"ALL SAINTS ANG PRY SCHOOL, Yaba",1969,Lagos-Mainland,State owned
"ALL SAINTS PRIMARY SCHOOL, Egbatedo, Iju Road",2646,Ifako/Ijaiye,State owned
"ALLEN HIGH SCHOOL, Mile 12",7870,Kosofe,Privately owned
"ALLIANT COLLEGE, Yaba",106549,Lagos-Mainland,Privately owned
"ALMOND COLLEGE, Ajah.",106185,Eti-Osa,Privately owned
"ALPHA COMPREHENSIVE COLLEGE, Okerube",5179,Alimosho,Privately owned
"ALPHA COVENANT HERITAGE SCHOOL, Awoyaya",64270, Ibeju-Lekki,Privately owned
"ALPHA HEIGHTS NURSERY/PRIMARY SCHOOL, Isawo",105726,Ikorodu,Privately owned
"ALPHA PLUS HIGH SCHOOL, Ketu",5631,Kosofe,Privately owned
